Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
828,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.7,23.4,0.29,UAE18---_HETEVULG_19.7,25.49257,56.36386,NPNT-Lot,mottled dorsal
1440,GoO,Snoopy,SnoopyII,B17,Rockyreef,2/5/18,5.2,250,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.8,26.7,0.29,UAE18---_HETEVULG_21.8,25.49206,56.36461,NPNT-Lot,
342,GoO,SharmRock,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,342,UAE18342,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,29,0.291,UAE18342_HETEVULG_22.9,25.48247,56.36955,Vial,black dorsal
1093,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.5,29.3,0.291,UAE18---_HETEVULG_24.5,25.48209,56.36566,NPNT-Lot,
791,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.3,24,0.292,UAE18---_HETEVULG_20.3,25.49257,56.36386,NPNT-Lot,mottled dorsal
1331,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.3,27.2,0.293,UAE18---_HETEVULG_22.3,25.60254,56.35142,NPNT-Lot,
813,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21,24.4,0.294,UAE18---_HETEVULG_21,25.49257,56.36386,NPNT-Lot,mottled dorsal
1447,GoO,Snoopy,SnoopyII,B17,Rockyreef,2/5/18,5.2,250,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.1,27.6,0.296,UAE18---_HETEVULG_23.1,25.49206,56.36461,NPNT-Lot,
1570,GoO,SharmRock,SharmRockII,B18,Rockyreef,3/5/18,8.8,260,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.7,25.9,0.298,UAE18---_HETEVULG_21.7,25.48241,56.36623,NPNT-Lot,
822,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.4,23.4,0.299,UAE18---_HETEVULG_20.4,25.49257,56.36386,NPNT-Lot,mottled dorsal
1321,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.2,26.7,0.299,UAE18---_HETEVULG_22.2,25.60254,56.35142,NPNT-Lot,
1322,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.6,27.3,0.302,UAE18---_HETEVULG_22.6,25.60254,56.35142,NPNT-Lot,
