Location,Species,SL,TL,W
AG,ENNEVENT,13.8,17.4,0.049
AG,ENNEVENT,14.8,17.7,0.056
AG,ENNEVENT,16.4,20,0.075
AG,ENNEVENT,16.3,18.6,0.065
AG,ENNEVENT,17.2,20.5,0.093
AG,ENNEVENT,15.6,19.1,0.063
AG,ENNEVENT,14.5,17.9,0.057
AG,ENNEVENT,14.2,17.1,0.055
AG,ENNEVENT,15.2,19.1,0.079
AG,ENNEVENT,13.3,16.5,0.042
AG,ENNEVENT,16.5,20.8,0.099
AG,ENNEVENT,15.4,18.5,0.064
AG,ENNEVENT,13.6,16.3,0.044
AG,ENNEVENT,13.4,16.4,0.039
AG,ENNEVENT,15.6,19.6,0.078
AG,ENNEVENT,13.4,16.3,0.043
AG,ENNEVENT,10.6,13.3,0.021
AG,ENNEVENT,12.2,13.7,0.03
AG,ENNEVENT,13.6,17.2,0.042
AG,ENNEVENT,13.9,17.1,0.05
AG,ENNEVENT,11.5,14.6,0.026
AG,ENNEVENT,16.6,20.5,0.085
AG,ENNEVENT,17,21.1,0.092
AG,ENNEVENT,14.3,17.6,0.047
AG,CORYANOM,21.6,26.9,0.186
AG,CORYANOM,26.1,32.1,0.377
AG,CORYANOM,29.6,35.3,0.464
AG,CORYANOM,20.5,25.3,0.213
AG,CORYANOM,22,26,0.224
AG,CORYANOM,21.9,26.8,0.225
AG,CORYANOM,17.8,22,0.118
AG,CORYANOM,10.8,13.4,0.026
AG,CORYANOM,10.9,12.8,0.024
AG,CORYANOM,9.3,10.3,0.011
AG,CORYANOM,8.1,10.5,0.009
AG,CORYANOM,17.3,21.2,0.088
AG,CORYANOM,26.1,31.8,0.39
AG,CORYANOM,23.9,29.2,0.273
AG,CORYANOM,25.1,30.8,0.296
AG,CORYANOM,27.7,33.6,0.456
AG,CORYANOM,27.4,34.2,0.382
AG,CORYANOM,26.1,31.5,0.393
AG,CORYANOM,24.8,31.2,0.331
AG,CORYANOM,24.6,29.7,0.301
AG,CORYANOM,23.5,29.3,0.295
AG,CORYANOM,23.4,27.4,0.237
AG,CORYANOM,18.4,22.4,0.105
AG,CORYANOM,22.5,28.6,0.26
AG,CORYANOM,32.5,40.3,0.595
AG,CORYANOM,26.7,33.2,0.385
AG,CORYANOM,22.8,27.9,0.254
AG,CORYANOM,24.8,29.7,0.335
AG,CORYANOM,31.3,39.6,0.587
AG,CORYANOM,28,32.9,0.42
AG,CORYANOM,24.2,30.8,0.38
AG,CORYANOM,24,29.8,0.308
